Pays,Catégorie,Item,Valeur,Plage,Valeur_nettoyee,Plage_nettoyee,Plage_min,Plage_max
bolivia,rent per month,apartment (1 bedroom) in city centre,349.27 €,199.20-664.00,349.27,"(199.2, 664.0)",199.2,664.0
bolivia,rent per month,apartment (1 bedroom) outside of centre,227.69 €,132.80-398.40,227.69,"(132.8, 398.4)",132.8,398.4
bolivia,rent per month,apartment (3 bedrooms) in city centre,642.31 €,"464.80-1,062.39",642.31,"(464.8, 1.062)",464.8,1.062
bolivia,rent per month,apartment (3 bedrooms) outside of centre,440.58 €,"265.60-1,102.68",440.58,"(265.6, 1.102)",265.6,1.102
bolivia,buy apartment price,price per square meter to buy apartment in city centre,"1,061.14 €","918.90-1,378.35",1.061,"(918.9, 1.378)",918.9,1.378
bolivia,buy apartment price,price per square meter to buy apartment outside of centre,833.90 €,"650.72-1,429.44",833.9,"(650.72, 1.429)",650.72,1.429
bolivia,salaries and financing,average monthly net salary (after tax),378.32 €,,378.32,,,
bolivia,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",7.45,6.00-12.00,7.45,"(6.0, 12.0)",6.0,12.0
bonaire,rent per month,apartment (1 bedroom) in city centre,980.16 €,"918.90-1,010.79",980.16,"(918.9, 1.01)",918.9,1.01
bonaire,rent per month,apartment (1 bedroom) outside of centre,811.70 €,735.12-872.96,811.7,"(735.12, 872.96)",735.12,872.96
bonaire,rent per month,apartment (3 bedrooms) in city centre,"1,807.17 €","1,470.24-2,297.25",1.807,"(470.24, 2.297)",470.24,2.297
bonaire,rent per month,apartment (3 bedrooms) outside of centre,"1,623.39 €","1,286.46-2,021.58",1.623,"(286.46, 2.021)",286.46,2.021
bonaire,salaries and financing,average monthly net salary (after tax),"1,547.12 €",,1.547,,,
bonaire,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",8.00,,8.0,,,
bosnia and herzegovina,rent per month,apartment (1 bedroom) in city centre,268.51 €,153.39-460.16,268.51,"(153.39, 460.16)",153.39,460.16
bosnia and herzegovina,rent per month,apartment (1 bedroom) outside of centre,200.94 €,127.82-306.77,200.94,"(127.82, 306.77)",127.82,306.77
bosnia and herzegovina,rent per month,apartment (3 bedrooms) in city centre,447.99 €,"255.64-1,022.58",447.99,"(255.64, 1.022)",255.64,1.022
